X,Y,OBJECTID,GlobalID,last_edited_date,id,stop_name,stop_id,stop_code,agency_nam,routes,gen_date,end_date
-84.2467920001507,33.7814160000484,72384,{656F0E4B-804F-4786-B09D-B4B6173FD06E},2019/09/06 15:54:28+00,5905,NORTHERN AVE @ 260 (BLDG 20),901025,901025,MARTA,125,2019/09/04,2019/12/06
-84.357095000234,33.6928749998814,72385,{59808380-F889-4800-82A1-AA459B202720},2019/09/06 15:49:50+00,2348,CONSTITUTION RD SE @ STONEWALL DR SE,151040,151040,MARTA,4,2019/09/04,2019/12/06
-84.2697749997164,33.837305999972,72386,{6B26BE20-63F7-45CE-B1B0-A91759D51111},2019/09/06 15:56:08+00,6821,LAVISTA RD@CEDAR CANYON DR,902502,902502,MARTA,30,2019/09/04,2019/12/06
-84.2953490000563,33.7811159997037,72387,{D395CE84-349D-40CA-B208-C0178472FBAF},2019/09/06 15:59:37+00,8227,CHURCH ST @ 921,904859,904859,MARTA,"123, 36",2019/09/04,2019/12/06
-84.4349899995888,33.742545999898,72388,{34053D47-C1A4-43FB-AC59-BBE4FCF9BF9C},2019/09/06 15:54:28+00,5423,LUCILE AVE SW @ ALTOONA PL SW,900223,900223,MARTA,58,2019/09/04,2019/12/06
-84.1655730003936,33.7192920004255,72389,{3FA0C757-148A-45D3-BF8B-B783733F323F},2019/09/06 15:51:20+00,3255,PANOLA RD@BENTON DR,210785,210785,MARTA,117,2019/09/04,2019/12/06
-84.4563970002213,33.6567460002278,72390,{BA269E27-5009-4B2A-9607-BC5C2B066572},2019/09/06 15:49:50+00,2692,ATLANTA ST@PRINCETON DR,166160,166160,MARTA,172,2019/09/04,2019/12/06
-84.4299009996314,33.7815970003014,72391,{80363470-2C41-42C0-B94B-C10452324D8C},2019/09/06 15:59:37+00,8111,MARIETTA BLVD NW @ 930,904641,904641,MARTA,26,2019/09/04,2019/12/06
-84.3319390002846,33.7227770001585,72392,{F484E7D5-6CF3-4F71-A414-B51805975F19},2019/09/06 15:48:22+00,1460,BOULDERCREST DR SE @ MARY DELL DR SE,128052,128052,MARTA,32,2019/09/04,2019/12/06
-84.3945499998825,33.7420199999231,72393,{63420CD0-0AD7-430B-A924-B37B67BBD837},2019/09/06 15:46:51+00,132,PRYOR ST SW@FULTON ST SW,102053,102053,MARTA,42,2019/09/04,2019/12/06
-84.3393650000946,34.0317559999395,72394,{500E651A-056B-41A7-B55A-AD9D88CAFFD3},2019/09/06 15:57:49+00,7074,HOLCOMB BRIDGE RD@OLD ROSWELL RD,902856,902856,MARTA,185,2019/09/04,2019/12/06
