,PLACEKEY,LOCATION_NAME,TOP_CATEGORY,SUB_CATEGORY,NAICS_CODE,LATITUDE,LONGITUDE,CITY,REGION,OPEN_HOURS,CATEGORY_TAGS,OPENED_ON,CLOSED_ON,TRACKING_CLOSED_SINCE
1046,224-222@8g7-46z-68v,McCray's Tavern Midtown,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,33.786008,-84.387591,Atlanta,GA,"{ ""Mon"": [[""11:00"", ""24:00""]], ""Tue"": [[""11:00"", ""24:00""]], ""Wed"": [[""11:00"", ""24:00""]], ""Thu"": [[""11:00"", ""24:00""]], ""Fri"": [[""11:00"", ""24:00""]], ""Sat"": [[""0:00"", ""1:00""], [""10:00"", ""24:00""]], ""Sun"": [[""0:00"", ""1:00""], [""10:00"", ""24:00""]] }","American Food,Bar or Pub,Late Night,Sports Bar",,,2019-07
1047,237-222@8g7-48s-x5z,Wing Shach Atl,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.744079,-84.403844,Atlanta,GA,"{ ""Mon"": [[""10:00"", ""22:00""]], ""Tue"": [[""11:00"", ""23:00""]], ""Wed"": [[""10:00"", ""23:00""]], ""Thu"": [[""11:00"", ""23:00""]], ""Fri"": [[""11:00"", ""24:00""]], ""Sat"": [[""0:00"", ""1:00""], [""11:00"", ""24:00""]], ""Sun"": [[""0:00"", ""1:00""]] }","Chicken Wings,Sandwich Shop,Seafood",,2022-12,2019-07
1048,222-229@8g6-yjr-kxq,Terraces Dry Cleaners South,Drycleaning and Laundry Services,Drycleaning and Laundry Services (except Coin-Operated),812320,33.928256,-84.340023,Atlanta,GA,,,,,2019-07
1049,22s-223@8g6-ym3-swk,PacSun,Clothing Stores,Family Clothing Stores,448140,33.846301,-84.364003,Atlanta,GA,"{ ""Mon"": [[""10:00"", ""24:00""]], ""Tue"": [[""0:00"", ""9:00""], [""10:00"", ""24:00""]], ""Wed"": [[""0:00"", ""9:00""], [""10:00"", ""24:00""]], ""Thu"": [[""0:00"", ""9:00""], [""10:00"", ""24:00""]], ""Fri"": [[""0:00"", ""9:00""], [""10:00"", ""24:00""]], ""Sat"": [[""0:00"", ""9:00""], [""10:00"", ""20:00""]], ""Sun"": [[""0:00"", ""18:00""]] }","Accessories,Children's Clothing,Men's Clothing,Swimwear,Women's Clothing",2023-01,,2019-07
1050,zzw-229@8g6-ym6-psq,CrossFit,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,33.834927,-84.383713,Atlanta,GA,"{ ""Mon"": [[""5:30"", ""7:30""], [""12:00"", ""13:00""], [""16:00"", ""21:00""]], ""Tue"": [[""5:30"", ""7:30""], [""12:00"", ""13:00""], [""16:00"", ""21:00""]], ""Wed"": [[""5:30"", ""7:30""], [""12:00"", ""13:00""], [""16:00"", ""21:00""]], ""Thu"": [[""5:30"", ""7:30""], [""12:00"", ""13:00""], [""16:00"", ""20:00""]], ""Fri"": [[""5:30"", ""7:30""], [""12:00"", ""13:00""], [""16:00"", ""20:00""]], ""Sat"": [[""9:00"", ""12:00""]], ""Sun"": [] }","Boot Camps,Cardio Classes,Circuit Training,Fitness Equipment,Interval Training",,2021-12,2019-07
1051,22g-224@8g7-46n-d35,Infinity Tattoos,Personal Care Services,Other Personal Care Services,812199,33.748466,-84.395349,Atlanta,GA,"{ ""Mon"": [[""12:00"", ""21:00""]], ""Tue"": [[""12:00"", ""21:00""]], ""Wed"": [[""12:00"", ""21:00""]], ""Thu"": [[""12:00"", ""21:00""]], ""Fri"": [[""12:00"", ""21:00""]], ""Sat"": [[""12:00"", ""21:00""]], ""Sun"": [] }","Piercing,Tattoo",,,2019-07
1052,zzw-22f@8g6-ymh-n3q,Canton Cooks,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.918531,-84.382001,Atlanta,GA,"{ ""Mon"": [[""11:00"", ""21:00""]], ""Tue"": [[""11:00"", ""21:00""]], ""Wed"": [], ""Thu"": [[""11:00"", ""21:00""]], ""Fri"": [[""11:00"", ""21:00""]], ""Sat"": [[""12:00"", ""21:00""]], ""Sun"": [[""12:00"", ""21:00""]] }",Chinese Food,,,2019-07
1053,225-223@8g6-yjy-cdv,Firehouse,"Sporting Goods, Hobby, and Musical Instrument Stores","Sewing, Needlework, and Piece Goods Stores",451130,33.92204,-84.335864,Atlanta,GA,,Art Classes,,,2019-07
1054,zzy-227@8g6-ym6-p7q,Carmel,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.83743,-84.380898,Atlanta,GA,"{ ""Mon"": [[""11:00"", ""22:00""]], ""Tue"": [[""11:00"", ""22:00""]], ""Wed"": [[""11:00"", ""22:00""]], ""Thu"": [[""11:00"", ""22:00""]], ""Fri"": [[""11:00"", ""24:00""]], ""Sat"": [[""11:00"", ""24:00""]], ""Sun"": [[""11:00"", ""21:00""]] }","Bar or Pub,Brunch,Cocktail Lounge,Diner,Late Night",,,2019-07
1055,223-222@8g6-yjw-cdv,Five Guys,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,33.926768,-84.378149,Sandy Springs,GA,"{ ""Mon"": [[""11:00"", ""22:00""]], ""Tue"": [[""11:00"", ""22:00""]], ""Wed"": [[""11:00"", ""22:00""]], ""Thu"": [[""11:00"", ""22:00""]], ""Fri"": [[""11:00"", ""22:00""]], ""Sat"": [[""11:00"", ""22:00""]], ""Sun"": [[""11:00"", ""22:00""]] }","Burgers,Counter Service,Dinner,Lunch",,,2019-07
